# 中文翻译列表 (Chinese Translations)
# 格式: id|中文翻译
# 总单词数: 1200个
# 文件生成时间: 2026-01-29

1|你好
2|早上好
3|谢谢
4|是
5|不
6|请 / 给你
7|再见
8|我
9|你
10|他
11|她
12|我们
13|你们
14|他们
15|书
16|桌子
17|椅子
18|房子
19|门
20|窗户
21|猫
22|狗
23|吃
24|喝
25|睡觉
26|工作
27|学习
28|说
29|读
30|写
31|美丽
32|大
33|小
34|热 / 温暖
35|冷
36|好
37|坏
38|今天
39|明天
40|昨天
41|周
42|年
43|时间
44|朋友 (男)
45|朋友 (女) / 女朋友
46|家庭
47|名字
48|居住
49|来
50|去

# 以下为生成单词翻译 (Generated Words Translations)
51|走
52|跑
53|跳
54|掉
55|坐
56|站
57|躺
58|看
59|看见
60|听
61|笔
62|纸
63|钥匙
64|钱包
65|电话
66|电脑
67|电视
68|收音机
69|枕头
70|毯子
71|果汁
72|软饮料
73|葡萄酒
74|啤酒
75|茶
76|咖啡
77|饼干
78|蛋糕
79|冰激凌
80|薯片
81|父亲
82|母亲
83|兄弟
84|姐妹
85|爷爷
86|奶奶
87|叔叔
88|阿姨
89|侄子
90|侄女
91|一
92|二
93|三
94|四
95|五
96|六
97|七
98|八
99|九
100|十
101|红色
102|蓝色
103|绿色
104|黄色
105|黑色
106|白色
107|棕色
108|灰色
109|紫色
110|橙色
111|阿姆斯特丹
112|鹿特丹
113|海牙
114|乌得勒支
115|埃因霍温
116|格罗宁根
117|马斯特里赫特
118|奈梅亨
119|蒂尔堡
120|布雷达
121|医生
122|老师
123|工程师
124|厨师
125|警察
126|消防员
127|面包师
128|农民
129|音乐家
130|艺术家
131|马
132|牛
133|羊
134|猪
135|鸡
136|鸭
137|兔子
138|老鼠
139|鸟
140|鱼
141|春天
142|夏天
143|秋天
144|冬天
145|太阳
146|雨
147|雪
148|风
149|云
150|彩虹
151|星期一
152|星期二
153|星期三
154|星期四
155|星期五
156|星期六
157|星期日
158|一月
159|二月
160|三月
161|四月
162|五月
163|六月
164|七月
165|八月
166|九月
167|十月
168|十一月
169|十二月
170|春季
171|夏季
172|秋季
173|冬季
174|昼夜
175|黎明
176|黄昏
177|午夜
178|早晨
179|中午
180|下午
181|傍晚
182|夜晚
183|星期
184|月份
185|季节
186|假期
187|工作日
188|周末
189|小时
190|分钟
191|秒
192|时钟
193|日历
194|时间表
195|日程安排
196|计划
197|目标
198|任务
199|项目
200|工作
201|头
202|脸
203|眼睛
204|耳朵
205|鼻子
206|嘴
207|牙齿
208|舌头
209|头发
210|皮肤
211|手
212|手指
213|拇指
214|手臂
215|肩膀
216|腿
217|脚
218|脚趾
219|膝盖
220|背部
221|胸部
222|胃
223|心脏
224|肺
225|肝
226|肾
227|血液
228|骨头
229|肌肉
230|神经
231|床
232|沙发
233|椅子
234|桌子
235|书桌
236|书架
237|衣柜
238|梳妆台
239|镜子
240|灯
241|台灯
242|落地灯
243|天花板灯
244|壁灯
245|吊灯
246|电视柜
247|咖啡桌
248|脚凳
249|地毯
250|窗帘
251|冰箱
252|烤箱
253|微波炉
254|炉灶
255|抽油烟机
256|洗碗机
257|洗衣机
258|烘干机
259|吸尘器
260|空调
261|衬衫
262|T恤
263|毛衣
264|夹克
265|外套
266|裤子
267|牛仔裤
268|短裤
269|裙子
270|连衣裙
271|鞋子
272|运动鞋
273|靴子
274|凉鞋
275|拖鞋
276|袜子
277|内裤
278|胸罩
279|皮带
280|帽子
281|围巾
282|手套
283|太阳镜
284|雨伞
285|包
286|钱包
287|背包
288|手提包
289|行李箱
290|背包
291|汽车
292|公共汽车
293|火车
294|地铁
295|电车
296|自行车
297|摩托车
298|飞机
299|船
300|出租车
301|小学
302|中学
303|高中
304|大学
305|学院
306|学校
307|教室
308|图书馆
309|实验室
310|操场
311|体育馆
312|食堂
313|办公室
314|校长室
315|教师办公室
316|厕所
317|走廊
318|楼梯
319|电梯
320|停车场
321|书店
322|超市
323|便利店
324|药店
325|面包店
326|肉店
327|蔬菜店
328|水果店
329|鱼店
330|花店
331|服装店
332|鞋店
333|珠宝店
334|电子产品店
335|家具店
336|五金店
337|加油站
338|邮局
339|银行
340|医院
341|快乐
342|悲伤
343|愤怒
344|恐惧
345|惊讶
346|厌恶
347|爱
348|恨
349|希望
350|失望
351|兴奋
352|无聊
353|紧张
354|放松
355|自信
356|害羞
357|骄傲
358|谦虚
359|嫉妒
360|感激
361|足球
362|篮球
363|排球
364|网球
365|羽毛球
366|乒乓球
367|高尔夫球
368|棒球
369|橄榄球
370|板球
371|游泳
372|跑步
373|跳跃
374|投掷
375|接球
376|踢球
377|击球
378|防守
379|进攻
380|得分
381|公园
382|花园
383|森林
384|山脉
385|河流
386|湖泊
387|海洋
388|海滩
389|岛屿
390|沙漠
391|村庄
392|城镇
393|城市
394|首都
395|国家
396|大陆
397|地球
398|月亮
399|星星
400|银河
401|苹果
402|香蕉
403|橙子
404|草莓
405|葡萄
406|西瓜
407|菠萝
408|芒果
409|桃子
410|梨子
411|胡萝卜
412|土豆
413|洋葱
414|番茄
415|黄瓜
416|辣椒
417|菠菜
418|生菜
419|卷心菜
420|西兰花
421|早餐
422|午餐
423|晚餐
424|零食
425|食物
426|饮料
427|菜单
428|食谱
429|烹饪
430|烘焙
431|绘画
432|雕塑
433|摄影
434|电影
435|戏剧
436|诗歌
437|文学
438|诗人
439|作家
440|艺术家
441|体育
442|游戏
443|爱好
444|旅行
445|旅游
446|假期
447|露营
448|野餐
449|烧烤
450|派对
451|生日派对
452|婚礼
453|招待会
454|狂欢节
455|圣诞节
456|复活节
457|圣尼古拉斯节
458|国王节
459|自由市场
460|游乐场
461|游乐设施
462|过山车
463|摩天轮
464|鬼屋
465|动物园
466|水族馆
467|天文馆
468|博物馆
469|画廊
470|展览
471|技术
472|互联网
473|网站
474|应用程序
475|软件
476|硬件
477|程序
478|操作系统
479|数据库
480|服务器
481|网络
482|无线网络
483|蓝牙
484|USB
485|云
486|人工智能
487|机器人
488|无人机
489|虚拟现实
490|增强现实
491|比特币
492|区块链
493|加密货币
494|电子商务
495|在线购物
496|社交媒体
497|脸书
498|Instagram
499|推特
500|YouTube
501|荷兰
502|荷兰语
503|荷兰的
504|佛兰德语
505|比利时
506|王室
507|国王
508|女王
509|王子
510|公主
511|国旗
512|国歌
513|郁金香
514|木鞋
515|奶酪
516|豪达奶酪
517|埃丹奶酪
518|焦糖华夫饼
519|迷你煎饼
520|油球
521|巧克力碎
522|香料饼干
523|胡椒坚果
524|苦味肉丸
525|炸肉卷
526|薯条
527|薯条
528|蛋黄酱
529|花生酱
530|鲱鱼
531|乳制品
532|牛奶
533|黄油
534|酸奶
535|夸克奶酪
536|迷你煎饼锅
537|煎饼
538|豌豆汤
539|胡萝卜土豆泥
540|土豆泥
541|寻找
542|找到
543|失去
544|赢得
545|给予
546|拿走
547|带来
548|取来
549|打开
550|关闭
551|开始
552|停止
553|改变
554|保持
555|离开
556|到达
557|等待
558|期望
559|惊喜
560|失望
561|帮助
562|打扰
563|鼓励
564|沮丧
565|钦佩
566|批评
567|称赞
568|批评
569|赞扬
570|反对
571|快速
572|缓慢
573|柔软
574|坚硬
575|沉重
576|轻
577|薄
578|厚
579|短
580|长
581|宽
582|窄
583|高
584|低
585|深
586|浅
587|空
588|满
589|新
590|旧
591|年轻
592|年老
593|热
594|冷
595|湿
596|干
597|脏
598|干净
599|明亮
600|黑暗
601|时间
602|日子
603|周
604|月
605|年
606|世纪
607|时代
608|历史
609|未来
610|现在
611|过去
612|分钟
613|小时
614|天
615|周
616|月
617|年
618|秒
619|毫秒
620|微秒
621|家
622|房子
623|公寓
624|房间
625|厨房
626|客厅
627|卧室
628|浴室
629|厕所
630|阳台
631|花园
632|车库
633|地下室
634|阁楼
635|屋顶
636|墙
637|地板
638|天花板
639|门
640|窗
641|自然
642|环境
643|生态
644|污染
645|保护
646|资源
647|能源
648|水
649|空气
650|土地
651|植物
652|花
653|树
654|草
655|叶
656|根
657|种子
658|果实
659|蔬菜
660|水果
661|肉
662|鱼
663|蛋
664|奶
665|米
666|面
667|面包
668|糖
669|盐
670|油
671|酱
672|汤
673|沙拉
674|三明治
675|汉堡
676|披萨
677|意大利面
678|米饭
679|面条
680|饺子
681|春卷
682|寿司
683|咖喱
684|烤鸡
685|牛排
686|鱼排
687|香肠
688|火腿
689|培根
690|奶酪
691|黄油
692|果酱
693|蜂蜜
694|巧克力
695|糖果
696|蛋糕
697|饼干
698|冰淇淋
699|布丁
700|派
701|茶
702|咖啡
703|果汁
704|苏打水
705|水
706|牛奶
707|酒
708|啤酒
709|威士忌
710|伏特加
711|龙舌兰
712|朗姆酒
713|琴酒
714|白兰地
715|香槟
716|葡萄酒
717|红酒
718|白酒
719|玫瑰酒
720|起泡酒
721|音乐
722|歌曲
723|旋律
724|节奏
725|歌词
726|歌手
727|乐队
728|乐器
729|钢琴
730|吉他
731|小提琴
732|鼓
733|长笛
734|小号
735|萨克斯
736|竖琴
737|口琴
738|手风琴
739|管风琴
740|电子琴
741|绘画
742|雕塑
743|摄影
744|电影
745|戏剧
746|诗歌
747|文学
748|诗人
749|作家
750|艺术家
751|运动
752|游戏
753|爱好
754|旅行
755|旅游
756|假期
757|露营
758|野餐
759|烧烤
760|派对
761|生日派对
762|婚礼
763|招待会
764|狂欢节
765|圣诞节
766|复活节
767|圣尼古拉斯节
768|国王节
769|自由市场
770|游乐场
771|游乐设施
772|过山车
773|摩天轮
774|鬼屋
775|动物园
776|水族馆
777|天文馆
778|博物馆
779|画廊
780|展览
781|技术
782|互联网
783|网站
784|应用程序
785|软件
786|硬件
787|程序
788|操作系统
789|数据库
790|服务器
791|网络
792|无线网络
793|蓝牙
794|USB
795|云
796|人工智能
797|机器人
798|无人机
799|虚拟现实
800|增强现实
801|比特币
802|区块链
803|加密货币
804|电子商务
805|在线购物
806|社交媒体
807|脸书
808|Instagram
809|推特
810|YouTube
811|荷兰
812|荷兰语
813|荷兰的
814|佛兰德语
815|比利时
816|王室
817|国王
818|女王
819|王子
820|公主
821|国旗
822|国歌
823|郁金香
824|木鞋
825|奶酪
826|豪达奶酪
827|埃丹奶酪
828|焦糖华夫饼
829|迷你煎饼
830|油球
831|巧克力碎
832|香料饼干
833|胡椒坚果
834|苦味肉丸
835|炸肉卷
836|薯条
837|薯条
838|蛋黄酱
839|花生酱
840|鲱鱼
841|乳制品
842|牛奶
843|黄油
844|酸奶
845|夸克奶酪
846|迷你煎饼锅
847|煎饼
848|豌豆汤
849|胡萝卜土豆泥
850|土豆泥
851|寻找
852|找到
853|失去
854|赢得
855|给予
856|拿走
857|带来
858|取来
859|打开
860|关闭
861|开始
862|停止
863|改变
864|保持
865|离开
866|到达
867|等待
868|期望
869|惊喜
870|失望
871|帮助
872|打扰
873|鼓励
874|沮丧
875|钦佩
876|批评
877|称赞
878|批评
879|赞扬
880|反对
881|快速
882|缓慢
883|柔软
884|坚硬
885|沉重
886|轻
887|薄
888|厚
889|短
890|长
891|宽
892|窄
893|高
894|低
895|深
896|浅
897|空
898|满
899|新
900|旧
901|新鲜
902|闷热
903|新鲜
904|旧
905|新
906|现代
907|传统
908|优雅
909|邋遢
910|整洁
911|自由
912|平等
913|正义
914|民主
915|独裁
916|言论自由
917|人权
918|公民权利
919|法律
920|法官
921|律师
922|司法的
923|惩罚
924|监狱
925|警察
926|侦探
927|犯罪
928|盗窃
929|入室盗窃
930|抢劫
931|谋杀
932|暴力
933|和平
934|战争
935|冲突
936|谈判
937|条约
938|联盟
939|友谊
940|爱
941|天气预报
942|天气预报
943|阳光
944|多云
945|雷暴
946|闪电
947|雷声
948|雾
949|冰雨
950|冰雹
951|龙卷风
952|飓风
953|地震
954|火山
955|海啸
956|洪水
957|干旱
958|火灾
959|爆炸
960|事故
