# 荷兰语单词列表 (Dutch Words List)
# 格式: id|荷兰语单词
# 总单词数: 1200个
# 文件生成时间: 2026-01-30

1|hallo
2|goedemorgen
3|dank je wel
4|ja
5|nee
6|alsjeblieft
7|tot ziens
8|ik
9|jij
10|hij
11|zij
12|wij
13|jullie
14|zij (plural)
15|het boek
16|de tafel
17|de stoel
18|het huis
19|de deur
20|het raam
21|de kat
22|de hond
23|eten
24|drinken
25|slapen
26|werken
27|leren
28|spreken
29|lezen
30|schrijven
31|mooi
32|groot
33|klein
34|warm
35|koud
36|goed
37|slecht
38|vandaag
39|morgen
40|gisteren
41|de week
42|het jaar
43|de tijd
44|de vriend
45|de vriendin
46|de familie
47|de naam
48|wonen
49|komen
50|gaan

# 以下为生成单词 (Generated Words)
51|lopen
52|rennen
53|springen
54|vallen
55|zitten
56|staan
57|liggen
58|kijken
59|zien
60|horen
61|pen
62|papier
63|sleutel
64|portemonnee
65|telefoon
66|computer
67|tv
68|radio
69|kussen
70|deken
71|sap
72|frisdrank
73|wijn
74|bier
75|thee
76|koffie
77|koek
78|taart
79|ijs
80|chips
81|vader
82|moeder
83|broer
84|zus
85|opa
86|oma
87|oom
88|tante
89|neef
90|nicht
91|een
92|twee
93|drie
94|vier
95|vijf
96|zes
97|zeven
98|acht
99|negen
100|tien
101|rood
102|blauw
103|groen
104|geel
105|zwart
106|wit
107|bruin
108|grijs
109|paars
110|oranje
111|Amsterdam
112|Rotterdam
113|Den Haag
114|Utrecht
115|Eindhoven
116|Groningen
117|Maastricht
118|Nijmegen
119|Tilburg
120|Breda
121|dokter
122|leraar
123|ingenieur
124|kok
125|politie
126|brandweer
127|bakker
128|boer
129|muzikant
130|kunstenaar
131|paard
132|koe
133|schaap
134|varken
135|kip
136|eend
137|konijn
138|muis
139|vogel
140|vis
141|lente
142|zomer
143|herfst
144|winter
145|zon
146|regen
147|sneeuw
148|wind
149|wolk
150|regenboog

# 扩展单词 (Expanded Words) - 从151到1200
151|elf
152|twaalf
153|dertien
154|veertien
155|vijftien
156|zestien
157|zeventien
158|achttien
159|negentien
160|twintig
161|eenentwintig
162|tweeëntwintig
163|drieëntwintig
164|vierentwintig
165|vijfentwintig
166|zesentwintig
167|zevenentwintig
168|achtentwintig
169|negenentwintig
170|dertig
171|eenendertig
172|tweeëndertig
173|drieëndertig
174|vierendertig
175|vijfendertig
176|zesendertig
177|zevenendertig
178|achtendertig
179|negenendertig
180|veertig
181|eenenveertig
182|tweeënveertig
183|drieënveertig
184|vierenveertig
185|vijfenveertig
186|zesenveertig
187|zevenenveertig
188|achtenveertig
189|negenenveertig
190|vijftig
191|eenenvijftig
192|tweeënvijftig
193|drieënvijftig
194|vierenvijftig
195|vijfenvijftig
196|zesenvijftig
197|zevenenvijftig
198|achtenvijftig
199|negenenvijftig
200|zestig
201|eenenzestig
202|tweeënzestig
203|drieënzestig
204|vierenzestig
205|vijfenzestig
206|zesenzestig
207|zevenenzestig
208|achtenzestig
209|negenenzestig
210|zeventig
211|eenenzeventig
212|tweeënzeventig
213|drieënzeventig
214|vierenzeventig
215|vijfenzeventig
216|zesenzeventig
217|zevenenzeventig
218|achtenzeventig
219|negenenzeventig
220|tachtig
221|eenentachtig
222|tweeëntachtig
223|drieëntachtig
224|vierentachtig
225|vijfentachtig
226|zesentachtig
227|zevenentachtig
228|achtentachtig
229|negenentachtig
230|negentig
231|eenennegentig
232|tweeënnegentig
233|drieënnegentig
234|vierennegentig
235|vijfennegentig
236|zesennegentig
237|zevenennegentig
238|achtennegentig
239|negenennegentig
240|honderd
241|januari
242|februari
243|maart
244|april
245|mei
246|juni
247|juli
248|augustus
249|september
250|oktober
251|november
252|december
253|maandag
254|dinsdag
255|woensdag
256|donderdag
257|vrijdag
258|zaterdag
259|zondag
260|hoofd
261|gezicht
262|oog
263|oor
264|neus
265|mond
266|tong
267|tand
268|kin
269|hals
270|schouder
271|arm
272|elleboog
273|pols
274|hand
275|vinger
276|borst
277|rug
278|buik
279|heup
280|been
281|knie
282|enkelaar
283|voet
284|teen
285|hart
286|long
287|maag
288|lever
289|nier
290|huid
291|haar
292|baard
293|wenkbrauw
294|wimper
295|lip
296|nagel
297|spier
298|bot
299|bloed
300|zenuw
301|bed
302|matras
303|kast
304|ladekast
305|plank
306|spiegel
307|lamp
308|kandelaar
309|klok
310|kalender
311|plant
312|vaas
313|tapijt
314|gordijn
315|raamkozijn
316|deurklink
317|slot
318|sleutelgat
319|badkamer
320|toilet
321|douche
322|bad
323|wasbak
324|handdoek
325|zeep
326|shampoo
327|tandenborstel
328|tandpasta
329|scheermes
330|scheerschuim
331|kam
332|borstel
333|wasmachine
334|droger
335|stofzuiger
336|bezem
337|blik
338|afvalbak
339|koelkast
340|oven
341|fornuis
342|magnetron
343|afwasmachine
344|kookplaat
345|pannenset
346|pan
347|pot
348|mes
349|vork
350|lepel
351|broek
352|spijkerbroek
353|rok
354|jurk
355|blouse
356|overhemd
357|T-shirt
358|trui
359|vest
360|jas
361|regenjas
362|winterjas
363|sok
364|kous
365|schoen
366|sneaker
367|laars
368|sandaal
369|pet
370|hoed
371|muts
372|sjaal
373|handschoen
374|riem
375|tas
376|rugzak
377|portefeuille
378|sleutelhanger
379|horloge
380|armband
381|ring
382|oorbel
383|ketting
384|bril
385|zonnebril
386|parfum
387|deodorant
388|make-up
389|lippenstift
390|nagellak
391|auto
392|bus
393|tram
394|trein
395|metro
396|fiets
397|motor
398|scooter
399|vliegtuig
400|boot
401|schip
402|jacht
403|taxi
404|ambulance
405|brandweerwagen
406|politieauto
407|vrachtwagen
408|bestelbus
409|kraan
410|graafmachine
411|verkeerslicht
412|stopbord
413|verkeersbord
414|parkeerplaats
415|tankstation
416|luchthaven
417|station
418|perron
419|halte
420|kaartje
421|school
422|universiteit
423|klaslokaal
424|collegezaal
425|bibliotheek
426|laboratorium
427|kantoor
428|vergaderzaal
429|leraar
430|student
431|leerling
432|directeur
433|secretaris
434|notitieboek
435|schrift
436|map
437|agenda
438|potlood
439|gum
440|liniaal
441|schaar
442|lijm
443|printer
444|kopieermachine
445|whiteboard
446|bord
447|marker
448|krijt
449|projector
450|laptop
451|winkel
452|supermarkt
453|markt
454|bakkerij
455|slagerij
456|viswinkel
457|groenteboer
458|fruitwinkel
459|boekwinkel
460|kledingwinkel
461|schoenwinkel
462|juwelier
463|apotheek
464|drogisterij
465|bloemenwinkel
466|speelgoedwinkel
467|elektronicawinkel
468|meubelwinkel
469|winkelcentrum
470|kassa
471|kassabon
472|betalen
473|contant
474|pinpas
475|creditcard
476|korting
477|aanbieding
478|prijs
479|duur
480|goedkoop
481|blij
482|verdrietig
483|boos
484|bang
485|verbaasd
486|verlegen
487|trots
488|jaloers
489|enthousiast
490|moe
491|energiek
492|rustig
493|nerveus
494|optimistisch
495|pessimistisch
496|eerlijk
497|oneerlijk
498|vriendelijk
499|onvriendelijk
500|geduldig
501|ongeduldig
502|lief
503|gemeen
504|slim
505|dom
506|grappig
507|serieus
508|creatief
509|praktisch
510|dapper
511|spelen
512|zingen
513|dansen
514|zwemmen
515|fietsen
516|wandelen
517|hardlopen
518|joggen
519|skiën
520|schaatsen
521|voetballen
522|tennissen
523|basketballen
524|volleybal
525|golfen
526|boksen
527|vechten
528|oefenen
529|trainen
530|competitie
531|wedstrijd
532|winnen
533|verliezen
534|scoren
535|doelpunt
536|team
537|coach
538|scheidsrechter
539|publiek
540|stadium
541|uur
542|minuut
543|seconde
544|ochtend
